gisid,Calendar year,State Route,Loc Road Name RMS,Intersection From,Segment From,Offset From,Intersection To,Segment To,Offset to,Municipality Name1,Municipality Name2,Municipality Name3,Leg Dist 1,Leg Dist 2,Leg Dist 3,Senatorial Dist1,Senatorial Dist2,Cong District,Miles Planned,County,longcode,shortcode,cty_code,source
2328,2025,"""3025""",FOURTH ST,River Rd,"""0010""","""0000""",Coates St,"""0020""","""0337""",UPPER MERION,,,149,,,17,,04,0.35,Montgomery,30250010000000200337,302500100020,"""46""",5-year plan 2024-2028
2343,2025,"""2023""",CHURCH RD,Township Line Rd,"""0010""","""0000""",Washington Ln,"""0060""","""2687""",CHELTENHAM,,,154,,,04,,04,2.79,Montgomery,20230010000000602687,202300100060,"""46""",5-year plan 2024-2028
2333,2024,"""1024""",SALFORD STATION,Gravel Pk,"""0010""","""0000""",Old Skippack Rd,"""0050""","""3673""",UPPER SALFORD,LOWER FREDERICK,,147,,,24,,04,3.04,Montgomery,10240010000000503673,102400100050,"""46""",5-year plan 2024-2028
2425,2025,"""0463""",HORSHAM RD,Norristown Rd,"""0242""","""0000""",Easton Rd,"""0262""","""0997""",HORSHAM,,,151,,,12,,04,1.1,Montgomery,04630242000002620997,046302420262,"""46""",5-year plan 2024-2028
2426,2025,"""0463""",HORSHAM RD,Norristown Rd,"""0243""","""0000""",Easton Rd,"""0263""","""0997""",HORSHAM,,,151,,,12,,04,1.1,Montgomery,04630243000002630997,046302430263,"""46""",5-year plan 2024-2028
2429,2025,"""1025""",SALFORD STATION,Gravel Pk,"""0040""","""0000""",Kratz Rd,"""0040""","""0448""",LOWER FREDERICK,,,147,,,24,,04,0.08,Montgomery,10250040000000400448,102500400040,"""46""",5-year plan 2024-2028
2431,2025,"""3028""",BROOKS RD,Croton Rd,"""0010""","""0000""",Gulph Rd,"""0010""","""0501""",UPPER MERION,,,149,,,17,,04,0.09,Montgomery,30280010000000100501,302800100010,"""46""",5-year plan 2024-2028
2441,2026,"""3002""",STATE ST,SR0611 underpass,"""0010""","""0000""",SR 0202,"""0080""","""2045""",DOYLESTOWN,DOYLESTOWN,,143,,,10,,01,1.77,Bucks,30020010000000802045,300200100080,"""09""",5-year plan 2024-2028
2442,2026,"""3002""",STATE ST,SR 0611 underpass,"""0011""","""0000""",SR 0202,"""0051""","""2882""",DOYLESTOWN,DOYLESTOWN,,143,,,10,,08,0.83,Bucks,30020011000000512882,300200110051,"""09""",5-year plan 2024-2028
2506,2026,"""3040""",OLD RAILROAD AV,Carter Rd,"""0010""","""0000""",Lancaster Ave,"""0014""","""0452""",LOWER MERION,,,166,,,17,,05,0.28,Montgomery,30400010000000140452,304000100014,"""46""",5-year plan 2024-2028
2528,2026,"""2052""",NORRISTOWN RD,Bethlehem Pk,"""0012""","""0000""",Tennis Ave,"""0032""","""2029""",LOWER GWYNEDD,,,151,061,,12,,04,1.3,Montgomery,20520012000000322029,205200120032,"""46""",5-year plan 2024-2028
2529,2026,"""2052""",NORRISTOWN RD,Bethlehem Pk,"""0013""","""0000""",Tennis Ave,"""0033""","""2013""",LOWER GWYNEDD,,,151,061,,12,,04,1.3,Montgomery,20520013000000332013,205200130033,"""46""",5-year plan 2024-2028
2530,2026,"""3001""",NORRISTOWN RD,Butler Pk,"""0010""","""0000""",Township Line Rd,"""0024""","""3409""",WHITPAIN,,,148,061,,17,,04,1.6,Montgomery,30010010000000243409,300100100024,"""46""",5-year plan 2024-2028
2533,2026,"""4027""",BLIEM RD,New Hanover Square Rd,"""0060""","""0000""",N Charlotte St,"""0080""","""3400""",LOWER POTTSGROVE,,,146,,,44,,04,1.88,Montgomery,40270060000000803400,402700600080,"""46""",5-year plan 2024-2028
2534,2026,"""4031""",RIDGE PK,S Park Ave,"""0010""","""0000""",Crosskeys Rd,"""0070""","""2448""",LOWER PROVIDENCE,,,150,,,44,,04,3.33,Montgomery,40310010000000702448,403100100070,"""46""",5-year plan 2024-2028
2624,2026,"""4003""",WISSAHICKON AV,W Hunting Park Ave / SR 0013,"""0010""","""0000""",Allens Rd,"""0070""","""2314""",PHILADELPHIA,,,201,200,198,3,,3,3.36,Philadelphia,40030010000000702314,400300100070,"""67""",5-year plan 2024-2028
2625,2026,"""4003""",WISSAHICKON AV,W Hunting Park Ave / SR 0013,"""0011""","""0000""",Abbottsford Ave,"""0011""","""3217""",PHILADELPHIA,,,198,,,3,,3,0.61,Philadelphia,40030011000000113217,400300110011,"""67""",5-year plan 2024-2028
2535,2026,"""4031""",RIDGE PK,Fox Rd,"""0071""","""0000""",Crosskeys Rd,"""0071""","""2448""",LOWER PROVIDENCE,,,150,,,44,,04,0.46,Montgomery,40310071000000712448,403100710071,"""46""",5-year plan 2024-2028
2404,2026,"""2010""",GOSHEN RD,Christine Ln,"""0050""","""0000""",300Ft West of Boot Rd,"""0140""","""3587""",WILLISTOWN,EAST GOSHEN,,167,156,,09,,06,5.09,Chester,20100050000001403587,201000500140,"""15""",5-year plan 2024-2028
